"TractId","State","County","TotalPop","Men","Women","Hispanic","White","Black","Native","Asian","Pacific","VotingAgeCitizen","Income","IncomeErr","IncomePerCap","IncomePerCapErr","Poverty","ChildPoverty","Professional","Service","Office","Construction","Production","Drive","Carpool","Transit","Walk","OtherTransp","WorkAtHome","MeanCommute","Employed","PrivateWork","PublicWork","SelfEmployed","FamilyWork","Unemployment"
1073003500,"Alabama","Jefferson",2239,979,1260,1.3,8,90.6,0,0,0,1746,31630,14117,17459,3519,27.2,43.2,25,25.4,29.6,4.1,15.9,85.5,12.8,1.7,0,0,0,19.6,1038,79.7,17.3,3,0,15.2
1073003600,"Alabama","Jefferson",4678,2262,2416,1.4,4.2,94.4,0,0,0,3727,42007,3175,19229,2271,16.6,21.7,27.5,20.4,26.4,3.5,22.2,85,9.3,2.5,0,0.5,2.8,24.2,1984,81.3,16.1,2.7,0,14.3
1073003700,"Alabama","Jefferson",4634,2127,2507,0.4,5.1,89,0,0.5,0,3484,27171,2799,15429,1895,32.7,44.5,13.2,24.8,29.6,8.7,23.8,69.2,13.4,7.1,7,1.9,1.5,26.9,1947,84.4,10.8,4.7,0,8.5
1073003802,"Alabama","Jefferson",5191,2332,2859,0,1.6,98.2,0,0,0,3894,31286,4068,14875,2244,30.5,42.6,19.5,29.6,35.7,7,8.2,71.6,22.7,3,0,2.1,0.7,29.2,1990,78.4,14.9,4.4,2.2,19.1
1073003803,"Alabama","Jefferson",3614,1689,1925,0.4,2.2,97.1,0.3,0,0,2909,34750,7643,19660,2791,26.4,54.6,21.3,29.7,30.5,4.2,14.2,75.2,14.1,3.1,4.4,1.1,2.1,19.7,1488,74.6,18.7,6.1,0.6,12
1073003900,"Alabama","Jefferson",1368,672,696,15.9,2.2,81.6,0,0.3,0,932,28015,5082,16234,2355,35.9,46.7,13.8,21.8,22.2,17.2,25,67.4,27.2,2.5,2.1,0,0.8,23.9,616,80.2,17.2,2.6,0,4.6
1073004000,"Alabama","Jefferson",2990,1435,1555,2.3,3.4,93.2,0.6,0.5,0,2391,17299,1592,16085,2371,41,43.5,23.4,23.2,21.2,11.6,20.6,82.8,9.1,4.1,0.9,3.1,0,22.9,1105,82.9,11,6.2,0,20.8
1073004200,"Alabama","Jefferson",1988,957,1031,1,2.1,96,0.2,0,0,1725,20536,3768,13960,2025,34.5,54.6,17.2,30.7,28.1,0,24,61.9,21.5,6.5,4.7,5.5,0,17.7,629,90,8.7,0,1.3,11.7
1073004500,"Alabama","Jefferson",5071,2243,2828,4,37.4,48.8,1.1,5,0,3962,15313,8565,8086,1635,67.9,81.8,35.3,26.9,34.5,1.4,2,40,7.3,0.6,44,3.7,4.4,14.5,1686,81.7,17.9,0.4,0,21.4
1073004701,"Alabama","Jefferson",4005,2052,1953,6.2,77.8,10.9,0,5,0,3521,50377,7062,51833,9153,17.8,36.7,69.6,9.8,15.3,0.5,4.8,83.1,8.4,0.6,1.3,1.3,5.3,13.5,2769,77.2,17.6,5.2,0,2.1
1073004702,"Alabama","Jefferson",3491,1712,1779,3.1,90.8,5,0.3,0.2,0,2915,63986,13897,55190,8320,8.3,15.3,60.5,9.4,21.2,3.6,5.4,85.6,4.4,0,1.2,3.6,5.2,14.2,2127,81.9,13.4,4.7,0,2.3
1073004800,"Alabama","Jefferson",1991,985,1006,5.1,88.2,3.4,0,0.9,0,1827,58017,10790,64718,10217,8.5,0,63.2,13.8,18.6,4.2,0.1,86.4,4.2,3.5,0,1.3,4.6,17.1,1036,74.9,18.6,6.5,0,3.2
